"","sesID","sesType","sesPart1Len","sesPart2Len","unlockingTime"
"7173",17267,"USES",66296,69098,2.802
"7174",17269,"USES",24359,25394,1.035
"7175",17275,"USES",12631,13813,1.182
"7176",17277,"USES",1242511,1243409,0.898
"7177",17279,"USES",185710,187976,2.266
"7178",17281,"USES",63807,65393,1.586
"7179",17283,"USES",1918,3521,1.603
"7180",17285,"USES",433382,437589,4.207
"7181",17287,"USES",2526,4276,1.75
"7182",17290,"USES",96068,97316,1.248
"7183",17293,"USES",333314,342526,9.212
"7184",17295,"USES",59244,60658,1.414
"7185",17297,"USES",214746,216066,1.32
"7186",17300,"USES",124892,128612,3.72
"7187",17302,"USES",96586,98105,1.519
"7188",17304,"USES",32662,33704,1.042
"7189",17306,"USES",24276,25254,0.978
"7190",17308,"USES",302166,303143,0.977
"7191",17310,"USES",34137,35225,1.088
"7192",17312,"USES",106088,107052,0.964
"7193",17314,"USES",11968,17710,5.742
"7194",17324,"USES",254185,255249,1.064
"7195",17326,"USES",498358,500263,1.905
"7196",17328,"USES",761553,763431,1.878
"7197",17330,"USES",280276,281451,1.175
"7198",17332,"USES",1072603,1074022,1.419
"7199",17334,"USES",338077,339336,1.259
"7200",17336,"USES",87062,88388,1.326
"7201",17338,"USES",427140,428119,0.979
"7202",17340,"USES",870757,871829,1.072
"7203",17342,"USES",74061,75143,1.082
"7204",17345,"USES",22044,23062,1.018
"7205",17347,"USES",414866,416045,1.179
"7206",17349,"USES",3164,4873,1.709
"7207",17351,"USES",184131,185277,1.146
"7208",17353,"USES",27370,28740,1.37
"7209",17355,"USES",3631,4731,1.1
"7210",17357,"USES",56209,57333,1.124
"7211",17359,"USES",11536,32057,20.521
"7212",17361,"USES",32785,34250,1.465
"7213",17364,"USES",51297,52677,1.38
"7214",17366,"USES",27771,28822,1.051
"7215",17368,"USES",80652,81835,1.183
"7216",17370,"USES",242558,243700,1.142
"7217",17372,"USES",650050,651274,1.224
"7218",17374,"USES",40021,41584,1.563
"7219",17376,"USES",84408,87218,2.81
"7220",17382,"USES",456330,471745,15.415
"7221",17385,"USES",1730472,1734292,3.82
"7222",17389,"USES",9854,38553,28.699
"7223",17393,"USES",833789,836306,2.517
"7224",17395,"USES",657516,660909,3.393
"7225",17397,"USES",82833,86334,3.501
"7226",17399,"USES",5170,6818,1.648
"7227",17401,"USES",93658,94641,0.983
"7228",17403,"USES",19337,20705,1.368
"7229",17405,"USES",147618,148944,1.326
"7230",17407,"USES",706443,708659,2.216
"7231",17409,"USES",54652,55987,1.335
"7232",17411,"USES",17016,18262,1.246
"7233",17413,"USES",7570,9475,1.905
"7234",17415,"USES",341907,342974,1.067
"7235",17419,"USES",47378,48920,1.542
"7236",17421,"USES",128799,130180,1.381
"7237",17426,"USES",74486,75686,1.2
"7238",17428,"USES",192838,194154,1.316
"7239",17432,"USES",112958,114821,1.863
"7240",17434,"USES",14279,16221,1.942
"7241",17436,"USES",128730,130739,2.009
"7242",17438,"USES",16216,17513,1.297
"7243",17440,"USES",135616,136646,1.03
"7244",17445,"USES",25015,27609,2.594
"7245",17447,"USES",32620,33975,1.355
"7246",17449,"USES",27277,28634,1.357
"7247",17452,"USES",4360,8146,3.786
"7248",17454,"USES",4931,6254,1.323
"7249",17456,"USES",77611,79848,2.237
"7250",17458,"USES",24087,25984,1.897
"7251",17460,"USES",205740,206827,1.087
"7252",17462,"USES",34691,35983,1.292
"7253",17464,"USES",75057,77989,2.932
"7254",17466,"USES",57232,58615,1.383
"7255",17469,"USES",287650,289726,2.076
"7256",17471,"USES",139410,142791,3.381
"7257",17478,"USES",357305,360420,3.115
"7258",17480,"USES",61532,63176,1.644
"7259",17482,"USES",791505,793044,1.539
"7260",17484,"USES",30801,32352,1.551
"7261",17486,"USES",15930,17062,1.132
"7262",17488,"USES",557635,559304,1.669
"7263",17490,"USES",86562,87835,1.273
"7264",17492,"USES",3377,5812,2.435
"7265",17495,"USES",73821,74942,1.121
"7266",17497,"USES",82658,101176,18.518
"7267",17499,"USES",6892,9304,2.412
"7268",17501,"USES",105090,106321,1.231
"7269",17503,"USES",578400,579359,0.959
"7270",17505,"USES",9230,10540,1.31
"7271",17507,"USES",4259,5795,1.536
"7272",17509,"USES",3732,4699,0.967
"7273",17511,"USES",55364,57320,1.956
"7274",17513,"USES",50402,58544,8.142
"7275",17515,"USES",15680,16764,1.084
"7276",17518,"USES",118014,119065,1.051
"7277",17520,"USES",34767,35759,0.992
"7278",17522,"USES",49769,50991,1.222
"7279",17524,"USES",122371,124810,2.439
"7280",17527,"USES",62272,64155,1.883
"7281",17529,"USES",26787,28375,1.588
"7282",17531,"USES",27044,29532,2.488
"7283",17533,"USES",167461,168233,0.772
"7284",17535,"USES",17445,19777,2.332
"7285",17537,"USES",24449,25500,1.051
"7286",17543,"USES",349123,350067,0.944
"7287",17545,"USES",13661,14739,1.078
"7288",17548,"USES",8635,10554,1.919
"7289",17550,"USES",188538,190436,1.898
"7290",17552,"USES",36327,37229,0.902
"7291",17554,"USES",1458067,1459140,1.073
"7292",17557,"USES",5852,6729,0.877
"7293",17562,"USES",47821,71663,23.842
"7294",17564,"USES",863405,864429,1.024
"7295",17566,"USES",550124,552169,2.045
"7296",17568,"USES",590730,596143,5.413
"7297",17570,"USES",87641,88782,1.141
"7298",17572,"USES",230465,231681,1.216
"7299",17574,"USES",176159,177461,1.302
"7300",17578,"USES",279355,281898,2.543
"7301",17580,"USES",19892,21030,1.138
"7302",17582,"USES",256163,257563,1.4
"7303",17584,"USES",32000,33105,1.105
"7304",17587,"USES",9834,10621,0.787
"7305",17589,"USES",57776,61219,3.443
"7306",17591,"USES",40116,48406,8.29
"7307",17593,"USES",340068,341252,1.184
"7308",17595,"USES",11450,12890,1.44
"7309",17597,"USES",46374,49904,3.53
"7310",17599,"USES",28108,29038,0.93
"7311",17601,"USES",69046,70011,0.965
"7312",17603,"USES",19533,20649,1.116
"7313",17605,"USES",83134,85217,2.083
"7314",17607,"USES",157096,160387,3.291
"7315",17609,"USES",64587,65876,1.289
"7316",17611,"USES",8030,15809,7.779
"7317",17613,"USES",33589,35606,2.017
"7318",17615,"USES",732651,734092,1.441
"7319",17617,"USES",14419,16351,1.932
"7320",17619,"USES",225355,226964,1.609
"7321",17621,"USES",269921,271165,1.244
"7322",17624,"USES",2439,3424,0.985
"7323",17626,"USES",567987,569475,1.488
"7324",17628,"USES",568899,569744,0.845
"7325",17630,"USES",327155,328075,0.92
"7326",17633,"USES",12566,14189,1.623
"7327",17635,"USES",66606,67911,1.305
"7328",17638,"USES",25771,26945,1.174
"7329",17640,"USES",7517,8537,1.02
"7330",17642,"USES",19666,20555,0.889
"7331",17644,"USES",44363,46302,1.939
"7332",17646,"USES",3195,4238,1.043
"7333",17648,"USES",991824,996823,4.999
"7334",17650,"USES",119970,121290,1.32
"7335",17652,"USES",47950,49306,1.356
"7336",17659,"USES",71571,85474,13.903
"7337",17661,"USES",355562,356988,1.426
"7338",17663,"USES",89219,104293,15.074
"7339",17665,"USES",66614,67788,1.174
"7340",17670,"USES",1585555,1605558,20.003
"7341",17672,"USES",454925,466016,11.091
"7342",17675,"USES",23510,25184,1.674
"7343",17677,"USES",510564,512606,2.042
"7344",17679,"USES",175320,177573,2.253
"7345",17682,"USES",279285,280523,1.238
"7346",17684,"USES",31962,34293,2.331
"7347",17687,"USES",114357,117494,3.137
"7348",17689,"USES",28619,30261,1.642
"7349",17691,"USES",217670,218472,0.802
"7350",17693,"USES",18047,19167,1.12
"7351",17696,"USES",42371,43500,1.129
"7352",17698,"USES",122551,123770,1.219
"7353",17700,"USES",13033,14038,1.005
"7354",17702,"USES",20977,22906,1.929
"7355",17704,"USES",16211,17120,0.909
"7356",17706,"USES",3119,4497,1.378
"7357",17708,"USES",51146,52108,0.962
"7358",17710,"USES",5625,6716,1.091
"7359",17713,"USES",17673,19661,1.988
"7360",17715,"USES",29225,31745,2.52
"7361",17717,"USES",42982,48862,5.88
"7362",17720,"USES",22957,24031,1.074
"7363",17724,"USES",22128,24116,1.988
"7364",17726,"USES",7601,9007,1.406
"7365",17728,"USES",144038,149316,5.278
"7366",17730,"USES",6803,7843,1.04
"7367",17732,"USES",133158,137788,4.63
"7368",17734,"USES",166303,169010,2.707
"7369",17736,"USES",11026,18923,7.897
"7370",17738,"USES",69339,71797,2.458
"7371",17740,"USES",13124,20910,7.786
"7372",17742,"USES",7206,8389,1.183
"7373",17745,"USES",11283,15363,4.08
"7374",17747,"USES",5797,7886,2.089
"7375",17749,"USES",71942,76824,4.882
"7376",17751,"USES",4227,5873,1.646
"7377",17753,"USES",217033,218195,1.162
"7378",17755,"USES",12150,12834,0.684
"7379",17757,"USES",2543,3817,1.274
"7380",17759,"USES",52812,54197,1.385
"7381",17762,"USES",231186,233019,1.833
"7382",17764,"USES",400095,401981,1.886
"7383",17766,"USES",221227,222765,1.538
"7384",17768,"USES",71338,72669,1.331
"7385",17770,"USES",578478,580549,2.071
"7386",17772,"USES",36295,37727,1.432
"7387",17774,"USES",358083,359275,1.192
"7388",17776,"USES",94854,96204,1.35
"7389",17778,"USES",37674,38915,1.241
"7390",17781,"USES",309618,312446,2.828
"7391",17783,"USES",14732,15900,1.168
"7392",17788,"USES",158861,162992,4.131
"7393",17790,"USES",2064175,2065374,1.199
"7394",17792,"USES",30068,31251,1.183
"7395",17794,"USES",67276,68165,0.889
"7396",17796,"USES",8978,10060,1.082
"7397",17798,"USES",20529,21490,0.961
"7398",17800,"USES",10906,12332,1.426
"7399",17802,"USES",6006,7163,1.157
"7400",17806,"USES",21728,23112,1.384
"7401",17808,"USES",3806,14785,10.979
"7402",17810,"USES",4718,5955,1.237
"7403",17812,"USES",182749,183926,1.177
"7404",17814,"USES",19580,20612,1.032
"7405",17816,"USES",35540,36632,1.092
"7406",17818,"USES",42781,46909,4.128
"7407",17820,"USES",28471,29912,1.441
"7408",17822,"USES",313910,316036,2.126
"7409",17824,"USES",2088,4050,1.962
"7410",17826,"USES",122503,124477,1.974
"7411",17828,"USES",63242,74515,11.273
"7412",17830,"USES",393628,421253,27.625
"7413",17832,"USES",100355,102951,2.596
"7414",17839,"USES",170321,171847,1.526
"7415",17842,"USES",225501,226953,1.452
"7416",17844,"USES",42611,44460,1.849
"7417",17846,"USES",255231,256196,0.965
"7418",17848,"USES",19822,23495,3.673
"7419",17850,"USES",116130,129209,13.079
"7420",17853,"USES",136212,137695,1.483
"7421",17855,"USES",2598,4356,1.758
"7422",17857,"USES",182227,183159,0.932
"7423",17859,"USES",138574,140151,1.577
"7424",17861,"USES",327413,328660,1.247
